,use_type,gross_floor_area,number_of_floors,number_of_basement_floors,year_built,elec201901,elec201902,elec201903,elec201904,elec201905,elec201906,elec201907,elec201908,elec201909,elec201910,elec201911,elec201912,elec202001,elec202002,elec202003,elec202004,elec202005,elec202006,elec202007,elec202008,elec202009,elec202010,elec202011,elec202012,elec202101,elec202102,elec202103,elec202104,elec202105,elec202106,elec202107,elec202108,elec202109,elec202110,elec202111,elec202112,gas201901,gas201902,gas201903,gas201904,gas201905,gas201906,gas201907,gas201908,gas201909,gas201910,gas201911,gas201912,gas202001,gas202002,gas202003,gas202004,gas202005,gas202006,gas202007,gas202008,gas202009,gas202010,gas202011,gas202012,gas202101,gas202102,gas202103,gas202104,gas202105,gas202106,gas202107,gas202108,gas202109,gas202110,gas202111,gas202112
0,Neighborhood,735.94,5.0,0.0,2013,9082,8695,7454,6688,6118,6436,6580,7908,8035,6367,5266,4673,6357,7147,6484,5696,5003,5379,6446,7033,9311,6742,5468,5633,7704,8393,6036,5178,5111,5671,6418,8457,7784,6644,5768,5292,20766,17011,10535,9189,8043,6735,5290,4969,4876,5560,8297,11766,14064,12149,7761,7860,5399,4312,4259,5156,4347,5570,6709,10076,19643,16328,10097,5993,6748,8390,3968,4896,4074,5309,9294,14927
1,Neighborhood,438.86,3.0,1.0,1990,2640,2470,1999,1800,1231,1920,2333,2383,2286,1250,1605,2144,2274,2246,1905,1516,1496,1348,1179,1116,1267,1303,1697,1596,1337,1188,948,1548,1545,1529,1436,1914,1772,1468,1750,2374,4262,4001,2739,2359,1101,223,175,164,129,234,751,2431,2968,3367,2548,1505,1038,233,152,199,117,129,795,2100,3909,3732,2543,2479,1784,1568,960,854,909,944,2035,3567
2,Neighborhood,2159.49,5.0,1.0,1996,28964,27299,23275,23994,21993,22527,23991,29043,29945,23507,21969,23211,26324,28109,23013,23662,22335,23562,25426,27530,31053,21806,21164,23178,27687,28073,22743,23612,22864,24772,27765,35310,30503,27326,24653,23966,2746,2693,5503,6002,6433,7120,5563,6599,5202,5451,6112,5943,6274,6549,5863,5783,6578,5751,6169,6164,5800,6177,6065,6231,5980,5034,5496,6006,5739,3896,6743,6120,6295,6383,5764,6575
3,Neighborhood,395.82,3.0,1.0,1968,8027,7045,6192,4875,6320,7333,8368,14169,14558,10267,8592,9555,11732,11207,9004,6711,7330,7501,9341,10609,12813,8113,7577,8541,10398,11349,8584,7619,6782,7143,9227,12283,10873,8458,7517,7724,5238,6497,4130,4670,3081,2350,2029,2370,1878,2517,2797,4107,4917,5370,3833,2667,3134,2990,2479,3063,2005,2347,3443,4189,5232,5484,4494,4100,3401,2872,2167,1804,2125,2364,2562,4108
4,Neighborhood,380.01,2.0,1.0,1992,1035,1028,871,921,890,950,958,1703,967,841,807,1253,1227,1225,1129,1139,1013,1233,1201,1825,1487,1025,1047,1176,1280,1234,1059,1059,1004,1140,1451,2067,1211,1096,1054,1133,6003,10941,8882,5868,4468,1640,1150,902,658,1231,3372,5958,10137,9458,8543,7004,4781,1816,3606,1225,2080,1714,3708,6238,11344,10613,9135,7154,3212,2008,1101,1149,1051,1271,3533,6881
5,Neighborhood,441.64,3.0,1.0,2002,5381,5121,4135,4829,5397,6449,7802,8636,6373,5237,4585,4648,5067,4460,4284,4726,5266,6767,6870,7338,6242,4943,4796,3888,4091,4105,3935,4714,5093,6024,7408,7656,6252,5275,4675,4544,6519,5839,5898,2752,1555,1021,866,592,735,1382,5953,7599,7691,7665,5645,3954,2392,1952,1361,557,594,2554,3072,6183,7815,5808,2394,1289,532,1026,589,400,565,968,2894,4374
6,Neighborhood,236.62,2.0,1.0,1985,1674,1653,1343,1505,1652,2007,2005,2966,2128,1837,1631,1428,1517,1530,1140,1204,1245,1693,1700,2135,1709,1358,1337,1327,1460,1427,1202,1238,1291,1580,2123,2480,2083,1827,1414,1278,5450,3374,3207,2639,2200,2291,1718,1685,1800,1922,2404,2573,3564,3916,2231,1460,1551,1843,1492,1766,1480,1755,2280,4145,4021,3945,3280,2996,1361,1685,1873,1194,1376,1479,2139,3278
7,Neighborhood,1621.43,6.0,1.0,1998,19736,20104,17273,17590,15900,17850,20361,27766,31396,25271,21590,18520,21775,21857,19092,18072,17159,19537,22967,25532,31007,22364,18600,18356,20799,22393,17833,18401,16069,18240,23703,31242,29604,24847,21700,21403,8612,10865,9087,9518,9977,9916,8919,10064,10543,9661,12060,9793,11649,8561,9273,10582,9110,9973,8956,11566,9334,8740,10425,10102,9407,10044,10188,11344,9295,10236,11402,9583,11506,11693,10872,11845
8,Neighborhood,944.05,4.0,1.0,1991,5125,4992,4278,4007,3511,3511,6194,9384,7933,5905,5325,6157,6599,6756,5626,5750,5289,5925,6752,7550,8056,5553,5282,5803,6919,6372,5220,5410,5004,5592,7394,9797,7479,5864,5425,5694,16807,14758,8189,7622,3992,1734,2312,1908,1418,2030,3210,12064,14362,13168,7831,9889,7339,3792,2335,2752,2847,3637,6692,9741,16372,11602,11603,8818,5707,4384,3144,2300,2396,2982,5781,10760
9,Neighborhood,507.68,6.0,1.0,1996,3154,2697,2367,2492,1813,1733,1824,2415,2671,1957,1851,2647,3231,2876,2362,2057,1804,1604,1980,2151,2555,1557,1740,2315,3127,3480,3013,2665,2714,2743,2058,3008,2157,1616,1863,3943,6923,7469,4692,4014,1577,593,356,451,272,547,1930,5633,6177,6377,5045,4037,1513,471,332,438,379,617,2579,5817,7588,7810,4348,3680,1264,485,354,259,282,424,2294,5083
